49
0: 0(0)->359(38)->357(190)->22(218)->0(255)
1: 0(0)->306(67)->63(78)->304(89)->259(104)->125(119)->155(146)->73(171)->390(189)->192(202)->112(217)->249(228)->0(343)
2: 0(0)->24(110)->30(123)->320(137)->362(154)->258(178)->101(196)->237(208)->158(219)->290(235)->187(520)->203(547)->36(579)->0(629)
3: 0(0)->326(107)->197(122)->74(136)->21(157)->395(175)->88(188)->282(227)->0(304)
4: 0(0)->142(66)->323(85)->44(106)->145(126)->287(141)->377(157)->255(175)->25(186)->134(202)->199(221)->233(234)->0(335)
5: 0(0)->278(62)->9(77)->381(92)->298(121)->41(197)->59(260)->94(318)->183(345)->220(361)->301(450)->319(481)->0(543)
6: 0(0)->163(131)->20(512)->105(536)->310(550)->208(627)->0(683)
7: 0(0)->93(19)->144(35)->143(53)->32(69)->76(80)->311(165)->37(217)->48(251)->336(392)->293(444)->0(572)
8: 0(0)->222(50)->369(236)->178(382)->120(397)->376(427)->8(464)->28(492)->0(547)
9: 0(0)->313(36)->277(149)->126(168)->18(184)->219(249)->34(285)->5(440)->347(536)->0(641)
10: 0(0)->329(32)->193(237)->262(256)->212(371)->66(395)->240(415)->81(442)->102(521)->0(638)
11: 0(0)->213(24)->161(41)->211(53)->238(67)->75(82)->393(104)->349(125)->140(139)->361(153)->169(165)->85(187)->184(538)->0(570)
12: 0(0)->92(83)->327(157)->15(173)->33(197)->86(217)->124(239)->231(453)->0(553)
13: 0(0)->318(52)->72(63)->46(121)->55(139)->386(403)->43(468)->353(486)->0(589)
14: 0(0)->396(84)->340(98)->115(113)->367(124)->129(138)->267(151)->11(165)->394(184)->382(195)->174(207)->268(222)->0(326)
15: 0(0)->214(81)->363(92)->308(143)->337(164)->0(237)
16: 0(0)->383(30)->136(66)->117(233)->332(248)->400(263)->190(288)->206(343)->235(362)->309(387)->291(406)->0(524)
17: 0(0)->104(66)->333(90)->232(112)->69(172)->0(269)
18: 0(0)->345(127)->110(138)->195(149)->279(162)->4(177)->1(214)->114(393)->80(543)->188(592)->58(687)->0(710)
19: 0(0)->398(26)->250(45)->121(71)->270(96)->217(123)->245(139)->172(594)->0(651)
20: 0(0)->157(131)->350(173)->356(192)->246(206)->289(221)->57(236)->305(251)->116(265)->280(283)->64(310)->225(375)->397(420)->17(528)->0(597)
21: 0(0)->100(89)->162(115)->371(270)->167(304)->358(315)->84(357)->153(416)->399(445)->98(555)->0(613)
22: 0(0)->374(113)->56(127)->307(144)->330(160)->373(174)->91(192)->324(205)->385(222)->0(328)
23: 0(0)->95(82)->50(99)->149(112)->189(129)->205(183)->103(380)->131(518)->331(570)->273(585)->0(610)
24: 0(0)->186(9)->35(213)->0(236)
25: 0(0)->269(67)->252(127)->106(145)->128(182)->236(214)->227(368)->216(396)->244(484)->0(618)
26: 0(0)->67(87)->31(102)->366(123)->346(149)->281(166)->260(179)->264(194)->351(221)->132(235)->182(565)->0(613)
27: 0(0)->296(32)->23(57)->283(81)->343(369)->0(426)
28: 0(0)->175(113)->70(133)->215(174)->54(208)->171(225)->218(237)->378(298)->60(507)->0(568)
29: 0(0)->40(92)->372(105)->392(116)->253(131)->148(145)->275(159)->62(175)->251(189)->6(205)->200(232)->335(258)->299(273)->202(439)->0(492)
30: 0(0)->247(96)->16(111)->89(138)->10(152)->239(165)->111(182)->364(200)->109(213)->271(226)->0(342)
31: 0(0)->165(63)->170(125)->266(137)->224(148)->52(163)->123(175)->226(191)->138(206)->49(252)->0(334)
32: 0(0)->341(101)->302(114)->294(150)->339(163)->272(196)->388(278)->160(303)->379(320)->61(342)->99(374)->12(510)->0(556)
33: 0(0)->107(56)->276(78)->141(110)->47(124)->207(144)->168(158)->370(176)->180(506)->53(555)->284(613)->0(657)
34: 0(0)->228(91)->146(140)->147(155)->156(169)->68(185)->19(202)->42(217)->113(237)->257(300)->0(405)
35: 0(0)->261(97)->314(127)->185(154)->137(167)->300(246)->0(366)
36: 0(0)->391(67)->288(79)->295(91)->375(107)->151(166)->118(207)->65(229)->26(364)->0(469)
37: 0(0)->29(114)->338(362)->0(505)
38: 0(0)->352(97)->285(110)->173(126)->179(140)->243(152)->316(165)->334(195)->133(230)->384(466)->0(559)
39: 0(0)->256(28)->194(58)->315(75)->328(91)->135(279)->322(309)->0(384)
40: 0(0)->13(144)->368(166)->248(195)->176(207)->223(219)->274(230)->83(305)->365(336)->387(359)->0(463)
41: 0(0)->325(176)->209(205)->78(231)->130(280)->7(418)->0(521)
42: 0(0)->87(102)->389(114)->82(128)->152(139)->286(153)->234(454)->229(484)->0(597)
43: 0(0)->164(26)->127(70)->108(88)->90(101)->360(113)->97(138)->154(223)->166(254)->191(268)->119(428)->0(541)
44: 0(0)->2(56)->196(69)->77(108)->348(158)->344(171)->3(183)->242(195)->159(322)->0(384)
45: 0(0)->150(32)->204(81)->317(102)->39(134)->355(147)->210(159)->177(171)->181(184)->297(196)->380(225)->0(325)
46: 0(0)->254(87)->221(197)->38(442)->14(504)->201(532)->0(572)
47: 0(0)->342(88)->265(102)->230(116)->96(134)->139(154)->263(169)->79(182)->122(194)->321(319)->241(490)->0(566)
48: 0(0)->312(91)->354(115)->198(138)->71(158)->303(172)->27(183)->51(197)->292(210)->45(401)->0(481)
10956.545612491334
